fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
327937,464188,Subordinate,2761,214,,ch,,8th Line,Rd,,2761 214 8th Line Rd,2761 214 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1B6,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{FEFBF124-D6CE-41D8-866E-B35D7969E5EB},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327938,464004,Subordinate,2761,202,,ch,,8th Line,Rd,,2761 202 8th Line Rd,2761 202 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1AD,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{D2FE367C-4323-402F-8DEE-0F46727B5BB4},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327939,463962,Subordinate,2761,123,,ch,,8th Line,Rd,,2761 123 8th Line Rd,2761 123 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1BJ,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{CA88AD32-7914-4854-B040-0E0F334BDDB4},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327940,463948,Subordinate,2761,201,,ch,,8th Line,Rd,,2761 201 8th Line Rd,2761 201 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1AF,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{C72BEA6A-0358-450D-9619-E4A86E30B64C},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327941,463931,Subordinate,2761,112,,ch,,8th Line,Rd,,2761 112 8th Line Rd,2761 112 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CD,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{C2B71B12-90F3-4503-A4F2-4C4E5A9A3DEC},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327942,463896,Subordinate,2761,115,,ch,,8th Line,Rd,,2761 115 8th Line Rd,2761 115 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1C0,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{B90B8C3F-726C-46F8-9DCD-7EB3FFCFF07A},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327956,72967,Main,7838,,,rue,,Lawrence,St,,7838 Lawrence St,7838 rue Lawrence,Lawrence St,rue Lawrence,rue Lawrence St.,English,K0A3J0,VERNON,Osgoode,20,__3W59FU,___2SQ0G,RN012457,386478.852,5002848.879,2012/11/14,,{8498DA64-2156-4737-9AA9-835D9436FC36},,6.14700070137e+18,V1I,V1,06147000701370000000,True
327957,230529,Subordinate,7848,,,rue,,Lawrence,St,,7848 Lawrence St,7848 rue Lawrence,Lawrence St,rue Lawrence,rue Lawrence St.,English,K0A3J0,VERNON,Osgoode,20,__354UYY,___2SQ0G,RN012457,386478.852,5002848.879,2012/11/14,,{359B7E7F-70D8-46C1-B570-8F4A22A0D979},__3W59FU,6.14700070137e+18,V1I,V1,06147000701370000000,True
327964,463410,Main,3113,,,ch,,Yorks Corners,Rd,,3113 Yorks Corners Rd,3113 ch Yorks Corners,Yorks Corners Rd,ch Yorks Corners,ch. Yorks Corners Rd.,English,K0A2P0,METCALFE,Osgoode,20,__3W6EMS,___2STS8,RN011970,389869.953,5011160.325,2012/11/14,,{3AA41457-8E9A-4C34-B44A-7C3690D645FC},,6.1470006522103e+18,AG,AG,06147000652210300000,True
327976,463361,Main,2800,,,ch,,8th Line,Rd,,2800 8th Line Rd,2800 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA15E,___2SVDB,RN012551,385590.777,5010356.239,2012/11/14,,{28CFB2BE-0A33-42FC-9DBC-4AD677876C6E},,6.1470006507001e+18,RI3,RI,06147000650700100000,True
327991,463678,Main,8026,,,prom,,Craig Farm,Dr,,8026 Craig Farm Dr,8026 prom Craig Farm,Craig Farm Dr,prom Craig Farm,prom. Craig Farm Dr.,English,K0A2P0,METCALFE,Osgoode,20,__32HM6Z,___2SUSA,RN007409,384988.691,5009982.193,2012/11/14,,{8067A47B-A863-475D-A0CB-665F3997C8D6},,6.1470006506944e+18,V1I,V1,06147000650694400000,True
328013,464395,Main,2727,,,rue,,Charters,St,,2727 Charters St,2727 rue Charters,Charters St,rue Charters,rue Charters St.,English,K0A2P0,METCALFE,Osgoode,20,__4QA14O,__3AHAQ9,RN009512,385844.751,5010898.382,2012/11/14,2024/03/24,{343D80E3-A940-43F4-90D8-9A7F291BC5E2},,6.1470006512303e+18,V1I,V1,06147000651230300000,True
328021,25672,Main,4046,,,prom,,Caracourt,Dr,,4046 Caracourt Dr,4046 prom Caracourt,Caracourt Dr,prom Caracourt,prom. Caracourt Dr.,English,K0A2W0,OSGOODE,Osgoode,20,__4OYPHF,___99DJZ,RN002268,385289.654,5002700.416,2012/11/14,,{3D909621-970D-4271-A57C-69B14B7406D2},,6.1470007005682e+18,V1I,V1,06147000700568200000,True
328022,226151,Subordinate,4039,,,voie,,Calbrent,Way,,4039 Calbrent Way,4039 voie Calbrent,Calbrent Way,voie Calbrent,voie Calbrent Way,English,K0A2W0,OSGOODE,Osgoode,20,__4OYOA9,__30KF44,RN008537,385289.654,5002700.416,2012/11/14,,{61799831-9CA3-4F6F-804B-4D4CA4FFEFC5},__4OYPHF,6.1470007005682e+18,V1I,V1,06147000700568200000,True
328024,464861,Main,2740,,,ch,,8th Line,Rd,,2740 8th Line Rd,2740 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA17X,___2SVDB,RN012551,385611.657,5010670.59,2012/11/14,2024/03/24,{AED58419-4DAB-474F-A2D5-1817FAB9114A},,6.14700065076e+18,V1I,V1,06147000650760000000,True
328038,316091,Main,4140,,,voie,,Calbrent,Way,,4140 Calbrent Way,4140 voie Calbrent,Calbrent Way,voie Calbrent,voie Calbrent Way,English,K0A2W0,OSGOODE,Osgoode,20,__5D5FJK,__30KF44,RN008537,385339.797,5002218.052,2012/11/14,,{755870C2-76F8-4573-8E44-CD9044E8F931},,6.1470007005615e+18,V1I,V1,06147000700561500000,True
328039,463521,Main,7948,,,ch,,Springhill,Rd,,7948 Springhill Rd,7948 ch Springhill,Springhill Rd,ch Springhill,ch. Springhill Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4LVLF1,___2SQ9O,RN000373,385688.2319,5006525.1984,2012/11/14,2015/10/01,{56ED9EC3-D304-48FF-8643-6E88A3043D1B},,6.1470006510602e+18,RU,RU,06147000651060200000,True
328050,465388,Main,3000,,,ch,,Gregoire,Rd,,3000 Gregoire Rd,3000 ch Gregoire,Gregoire Rd,ch Gregoire,ch. Gregoire Rd.,English,K4R0H6,METCALFE,Osgoode,20,__3W6F75,___2SUZ6,RN009444,391511.612,5012893.934,2012/11/14,2024/03/24,{AD9B6E34-1E34-4F2E-B47B-686943AE16F8},,6.1470006527201e+18,AG3,AG,06147000652720100000,True
328056,463563,Main,8404,,,prom,,Rosefire,Dr,,8404 Rosefire Dr,8404 prom Rosefire,Rosefire Dr,prom Rosefire,prom. Rosefire Dr.,English,K0A2P0,METCALFE,Osgoode,20,__31EMBC,___2SUHG,RN001911,386416.168,5010597.75,2012/11/14,,{5F9DFBBA-E9DD-400B-A50A-C502413690C4},,6.1470006512652e+18,V1I[562r],V1,06147000651265200000,True
328057,251043,Main,4107,,,prom,,Lafortune,Dr,,4107 Lafortune Dr,4107 prom Lafortune,Lafortune Dr,prom Lafortune,prom. Lafortune Dr.,English,K0A3J0,VERNON,Osgoode,20,__3W59CE,___2SQ0C,RN006322,386790.555,5003254.942,2012/11/14,,{32021A2F-9529-4E5E-ADC5-84CA43AE5118},,6.1470007010308e+18,V1I,V1,06147000701030800000,True
328066,464914,Main,2724,,,prom,,Glenwood,Dr,,2724 Glenwood Dr,2724 prom Glenwood,Glenwood Dr,prom Glenwood,prom. Glenwood Dr.,English,K0A2P0,METCALFE,Osgoode,20,__4O3IWC,___2SU05,RN013010,386085.666,5011046.987,2012/11/14,2024/03/24,{BB475131-EDF6-4F46-8EB4-340A6B064202},,6.1470006512368e+18,V1I,V1,06147000651236800000,True
328070,475822,Main,9013,,,prom,,Jason,Dr,,9013 Jason Dr,9013 prom Jason,Jason Dr,prom Jason,prom. Jason Dr.,English,K0A2G0,KENMORE,Osgoode,20,__31FCJ9,___2SQAV,RN005968,389822.99,5010703.041,2012/11/14,2024/11/10,{9077525A-4F5A-419C-9DB9-B1E691FE70AD},,6.1470006517206e+18,V1I,V1,06147000651720600000,True
328093,463627,Main,8036,,,ch,,Marvelville,Rd,,8036 Marvelville Rd,8036 ch Marvelville,Marvelville Rd,ch Marvelville,ch. Marvelville Rd.,English,K0A2P0,METCALFE,Osgoode,20,__3W50IM,___2SQ0T,RN006120,386747.212,5004828.759,2012/11/14,,{74795520-50A7-40ED-8206-6C6D0C8BF88C},,6.14700070081e+18,AG1,AG,06147000700810000000,True
328096,42097,Main,7743,,,rue,,Lawrence,St,,7743 Lawrence St,7743 rue Lawrence,Lawrence St,rue Lawrence,rue Lawrence St.,English,K0A3J0,VERNON,Osgoode,20,__4QA11Z,___2SQ0G,RN012457,386041.006,5002656.277,2012/11/14,,{436FF416-D216-47E0-AE7C-5B668799614E},,6.14700070031e+18,V1I,V1,06147000700310000000,True
328106,52694,Main,4075,,,prom,,Lafortune,Dr,,4075 Lafortune Dr,4075 prom Lafortune,Lafortune Dr,prom Lafortune,prom. Lafortune Dr.,English,K0A3J0,VERNON,Osgoode,20,__3W59DM,___2SQ0C,RN006322,386721.254,5003425.376,2012/11/14,,{87735A1D-B00D-415C-993C-7D9DC03B99FE},,6.147000701032e+18,V1I,V1,06147000701032000000,True
